"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Aug-2023","BE","213.35","222.25","207.55","214.50","210.10","211.15","216.13","262.05","202.80","87,522,126","18,916,412,848.50","614,341"
"25-Aug-2023","BE","202.80","224.10","202.80","213.45","221.60","214.50","208.11","262.05","202.80","281,040,185","58,486,553,466.05","668,251"
"24-Aug-2023","BE","213.45","213.45","213.45","224.65","213.45","213.45","213.45","262.05","213.45","27,673,356","5,906,877,838.20","85,618"
"23-Aug-2023","BE","224.65","224.65","224.65","236.45","224.65","224.65","224.65","262.05","224.65","4,289,046","963,534,183.90","70,571"
"22-Aug-2023","BE","236.45","236.45","236.45","248.90","236.45","236.45","236.45","262.05","236.45","7,281,398","1,721,686,557.10","88,607"
"21-Aug-2023","BE","262.00","262.05","248.90","261.85","248.90","248.90","253.78","262.05","248.90","74,715,306","18,961,288,026.65","347,015"
